	Q1	Q2	Q3	Q4	sum
A	696	5936	20435	6948	34015
R	4371	13314	4614	1	22300
N	8791	9597	1405	1	19794
D	20655	5052	109	1	25817
C	13	63	1221	4975	6272
Q	5866	9347	1913	1	17127
E	27182	3325	24	1	30532
G	8069	14234	9120	46	31469
H	256	2245	6580	450	9531
I	62	334	4904	20612	25912
L	118	754	10313	30499	41684
K	24906	3001	29	1	27937
M	33	246	3081	5909	9269
F	53	275	4089	13343	17760
P	7505	10078	2818	1	20402
S	4812	13986	8585	44	27427
T	2746	11552	10671	84	25053
W	18	226	2771	2904	5919
Y	58	603	7883	7425	15969
V	110	899	10435	20950	32394
#	1	1	1	1	4
