# 2017/03/04 - 16:39
PDB,CHAIN,ACCESSION,EC_NUMBER
102l,A,P00720,3.2.1.17
103l,A,P00720,3.2.1.17
104l,A,P00720,3.2.1.17
104l,B,P00720,3.2.1.17
107l,A,P00720,3.2.1.17
108l,A,P00720,3.2.1.17
109l,A,P00720,3.2.1.17
10gs,A,P09211,2.5.1.18
10gs,B,P09211,2.5.1.18
10mh,A,P05102,2.1.1.37
110l,A,P00720,3.2.1.17
111l,A,P00720,3.2.1.17
112l,A,P00720,3.2.1.17
113l,A,P00720,3.2.1.17
114l,A,P00720,3.2.1.17
115l,A,P00720,3.2.1.17
117e,A,P00817,3.6.1.1
117e,B,P00817,3.6.1.1
118l,A,P00720,3.2.1.17
119l,A,P00720,3.2.1.17
11as,A,P00963,6.3.1.1
11as,B,P00963,6.3.1.1
11ba,A,P00669,3.1.27.5
11ba,B,P00669,3.1.27.5
11bg,A,P00669,3.1.27.5
11bg,B,P00669,3.1.27.5
11gs,A,P09211,2.5.1.18
11gs,B,P09211,2.5.1.18
120l,A,P00720,3.2.1.17
122l,A,P00720,3.2.1.17
123l,A,P00720,3.2.1.17
125l,A,P00720,3.2.1.17
126l,A,P00720,3.2.1.17
127l,A,P00720,3.2.1.17
128l,A,P00720,3.2.1.17
129l,A,P00720,3.2.1.17
12as,A,P00963,6.3.1.1
12as,B,P00963,6.3.1.1
12ca,A,P00918,4.2.1.1
12gs,A,P09211,2.5.1.18
12gs,B,P09211,2.5.1.18
130l,A,P00720,3.2.1.17
131l,A,P00720,3.2.1.17
132l,A,P00698,3.2.1.17
133l,A,P61626,3.2.1.17
134l,A,P61626,3.2.1.17
135l,A,P00703,3.2.1.17
137l,A,P00720,3.2.1.17
137l,B,P00720,3.2.1.17
138l,A,P00720,3.2.1.17
139l,A,P00720,3.2.1.17
13gs,A,P09211,2.5.1.18
13gs,B,P09211,2.5.1.18
13pk,A,P07378,2.7.2.3
13pk,B,P07378,2.7.2.3
13pk,C,P07378,2.7.2.3
13pk,D,P07378,2.7.2.3
140l,A,P00720,3.2.1.17
141l,A,P00720,3.2.1.17
142l,A,P00720,3.2.1.17
143l,A,P00720,3.2.1.17
144l,A,P00720,3.2.1.17
145l,A,P00720,3.2.1.17
146l,A,P00720,3.2.1.17
147l,A,P00720,3.2.1.17
148l,E,P00720,3.2.1.17
149l,A,P00720,3.2.1.17
14gs,A,P09211,2.5.1.18
14gs,B,P09211,2.5.1.18
150l,A,P00720,3.2.1.17
150l,B,P00720,3.2.1.17
150l,C,P00720,3.2.1.17
150l,D,P00720,3.2.1.17
151l,A,P00720,3.2.1.17
152l,A,P00720,3.2.1.17
153l,A,P00718,3.2.1.17
154l,A,P00718,3.2.1.17
155l,A,P00720,3.2.1.17
156l,A,P00720,3.2.1.17
157l,A,P00720,3.2.1.17
158l,A,P00720,3.2.1.17
159l,A,P00720,3.2.1.17
160l,A,P00720,3.2.1.17
161l,A,P00720,3.2.1.17
162l,A,P00720,3.2.1.17
163l,A,P00720,3.2.1.17
164l,A,P00720,3.2.1.17
165l,A,P00720,3.2.1.17
166l,A,P00720,3.2.1.17
167l,A,P00720,3.2.1.17
167l,B,P00720,3.2.1.17
168l,A,P00720,3.2.1.17
168l,B,P00720,3.2.1.17
168l,C,P00720,3.2.1.17
168l,D,P00720,3.2.1.17
